Date,ADBE,CVX,MDLZ,NFLX,ORCL,SBUX
3-Jan-17,113.82,110.759811,44.43,141.220001,40.23,55.649239
1-Dec-16,102.949997,116.584061,44.330002,123.800003,38.299999,55.270943
1-Nov-16,102.809998,110.502274,41.066032,117,40.033211,57.709953
3-Oct-16,107.510002,102.728424,44.75042,124.870003,38.270115,52.588333
1-Sep-16,108.540001,100.933739,43.714809,98.550003,38.975769,53.648621
1-Aug-16,102.309998,98.638901,44.632732,97.449997,40.900745,55.719654
1-Jul-16,97.860001,99.454315,43.601677,91.25,40.722141,57.323502
1-Jun-16,95.790001,101.734932,45.118515,91.480003,40.464153,56.40514
2-May-16,99.470001,98.018005,43.92609,102.57,39.742462,54.203049
1-Apr-16,94.220001,98.125877,42.415478,90.029999,39.40633,55.332672
1-Mar-16,93.800003,91.614883,39.611477,102.230003,40.294178,58.747299
1-Feb-16,85.150002,80.12941,39.843796,93.410004,36.226345,57.281075
4-Jan-16,89.129997,81.999138,42.370281,91.839996,35.763424,59.605438
1-Dec-15,93.940002,85.308685,44.080826,114.379997,35.832371,58.87962
2-Nov-15,91.459999,86.598373,42.758907,123.330002,38.225773,60.213558
1-Oct-15,88.660004,85.141266,45.207314,108.379997,38.098255,61.172874
1-Sep-15,82.220001,73.899025,41.005852,103.260002,35.289936,55.57082
3-Aug-15,78.57,75.875786,41.320961,115.029999,36.237648,53.48838
1-Jul-15,81.989998,81.861366,44.023018,114.309998,39.022148,56.480755
1-Jun-15,81.010002,89.253685,40.130886,93.848572,39.227543,52.278576
1-May-15,79.089996,95.295212,40.421711,89.151428,42.332653,50.660107
1-Apr-15,76.059998,101.738503,37.29216,79.5,42.45919,48.18634
2-Mar-15,73.940002,96.168816,35.07621,59.527142,41.854977,46.019024
2-Feb-15,79.099998,97.726128,35.748814,67.844284,42.504868,45.43103
2-Jan-15,70.129997,93.010651,34.103638,63.114285,40.63279,42.380104
1-Dec-14,72.699997,101.764709,35.158489,48.80143,43.502277,39.72681
3-Nov-14,73.68,98.762024,37.78524,49.512856,41.025829,39.320099
1-Oct-14,70.120003,107.813469,33.987434,56.110001,37.775494,36.433998
2-Sep-14,69.190002,107.247215,33.033169,64.454285,36.916359,36.38578
1-Aug-14,71.900002,116.352257,34.73325,68.234283,40.050587,37.518917
1-Jul-14,69.25,115.184502,34.570095,60.388573,38.951195,37.330624
2-Jun-14,72.360001,116.352028,36.096092,62.942856,38.972752,37.186451
1-May-14,64.540001,109.435966,35.969479,59.689999,40.405502,35.196896
1-Apr-14,61.689999,110.922226,34.085911,46.005714,39.309307,33.813385
3-Mar-14,65.739998,105.080963,33.034172,50.290001,39.221218,35.134892
3-Feb-14,68.629997,101.917313,32.403675,63.66143,37.495525,33.976177
2-Jan-14,59.189999,97.779083,31.194368,58.475716,35.376755,33.924419
2-Dec-13,59.880001,109.411316,33.61298,52.595715,36.564285,37.392227
1-Nov-13,56.779999,107.247795,31.79953,52.257141,33.725922,38.856625
1-Oct-13,54.220001,104.200531,31.91334,46.068573,32.015255,38.536942
3-Sep-13,51.939999,105.538216,29.798428,44.172855,31.58544,36.597019
1-Aug-13,45.75,104.608788,28.960276,40.558571,30.33802,33.530228
1-Jul-13,47.279999,108.455536,29.526829,34.925713,30.804611,33.80011
3-Jun-13,45.560001,101.951134,26.939571,30.155714,29.131626,31.059689
1-May-13,42.91,105.750397,27.711178,32.32143,32.043839,29.93602
1-Apr-13,45.080002,104.271973,29.562979,30.867144,31.095236,28.74859
1-Mar-13,43.52,101.545738,28.78278,27.040001,30.668367,26.910458
1-Feb-13,39.310001,100.11853,25.758562,26.868572,32.480202,25.918148
2-Jan-13,37.830002,97.649048,25.898352,23.605715,33.684925,26.418974
3-Dec-12,37.68,91.704453,23.717634,13.227143,31.607483,25.246786
1-Nov-12,34.610001,89.626816,24.004147,11.672857,30.356169,24.418251
1-Oct-12,34.029999,92.686119,24.616072,11.32,29.318512,21.518288
4-Sep-12,32.439999,97.999763,25.558983,7.777143,29.618881,23.773252
1-Aug-12,31.27,94.300392,25.471535,8.531428,29.797762,23.257565
2-Jul-12,30.879999,91.399498,24.367012,8.121428,28.432621,21.145441
1-Jun-12,32.369999,87.996414,23.698162,9.784286,27.904129,24.900064
1-May-12,31.049999,81.999306,23.30304,9.062857,24.869436,25.633244
2-Apr-12,33.549999,88.087753,24.277296,11.448571,27.622269,26.70941
1-Mar-12,34.310001,88.625076,23.144722,16.434286,27.341171,26.020376
1-Feb-12,32.889999,90.203979,23.006008,15.818571,27.425556,22.607792
3-Jan-12,30.950001,84.595688,23.144999,17.171429,26.450426,22.23134
1-Dec-11,28.27,87.286469,22.57695,9.898571,23.996521,21.345242
1-Nov-11,27.42,84.349571,21.677694,9.218572,29.329081,20.171509
3-Oct-11,29.41,85.503036,21.096024,11.725715,30.657543,19.575357
1-Sep-11,24.17,75.361504,20.13657,16.181429,26.833681,17.232414
1-Aug-11,25.24,80.448547,20.825727,33.572857,26.20812,17.847031
1-Jul-11,27.709999,83.991791,20.445131,37.998573,28.551634,18.460758
1-Jun-11,31.450001,83.038986,20.950609,37.527142,30.672764,18.184469
2-May-11,34.630001,84.710434,20.621187,38.685715,31.893711,16.941166
1-Apr-11,33.549999,87.690132,19.807426,33.238571,33.515423,16.610157
1-Mar-11,33.16,86.127663,18.492435,33.968571,31.101677,16.95429
1-Feb-11,34.5,83.130943,18.602465,29.524286,30.608591,15.132679
3-Jan-11,33.049999,75.496002,17.860468,30.582857,29.799183,14.409629
1-Dec-10,30.780001,72.569366,18.409662,25.1,29.073328,14.683837
1-Nov-10,27.799999,64.393883,17.512638,29.414286,25.125671,13.984607
1-Oct-10,28.15,65.132835,18.682077,24.795713,27.289917,12.99719
1-Sep-10,26.15,63.910614,17.865786,23.165714,24.894123,11.627388
2-Aug-10,27.700001,58.414536,17.15789,17.931429,20.249075,10.457823
1-Jul-10,28.719999,59.537323,16.756334,14.65,21.917953,11.249669
1-Jun-10,26.43,53.014076,16.062218,15.521428,19.854185,11.000682
3-May-10,32.080002,57.709251,16.24419,15.878572,20.881126,11.72048
1-Apr-10,33.599998,63.034573,16.81217,14.128572,23.934195,11.761223
1-Mar-10,35.369999,58.692429,17.175674,10.534286,23.74065,10.941774
1-Feb-10,34.650002,55.960209,15.994751,9.435715,22.761847,10.328638
4-Jan-10,32.299999,55.29171,15.561547,8.892858,21.293638,9.823703
1-Dec-09,36.779999,59.025352,15.291499,7.87,22.605371,10.396263
2-Nov-09,35.080002,59.830349,14.796587,8.375714,20.347599,9.873295
1-Oct-09,32.939999,58.168388,15.319867,7.635714,19.44449,8.556855
1-Sep-09,33.040001,53.524948,14.624016,6.595714,19.158724,9.309751
3-Aug-09,31.42,53.152561,15.6094,6.232857,20.11482,8.561364
1-Jul-09,32.419998,52.272266,15.603894,6.277143,20.34465,7.979786
1-Jun-09,28.299999,49.849396,13.952106,5.905715,19.643879,6.262104
1-May-09,28.18,50.165421,14.21553,5.631429,17.96562,6.487521
1-Apr-09,27.35,49.260059,12.740076,6.472857,17.736351,6.51908
2-Mar-09,21.389999,50.109627,12.13574,6.131429,16.528702,5.008781
2-Feb-09,16.700001,45.24324,12.240067,5.177143,14.214501,4.125144
2-Jan-09,19.309999,52.074623,15.071722,5.162857,15.394469,4.255886
1-Dec-08,21.290001,54.622238,14.426944,4.27,16.217703,4.264903
3-Nov-08,23.16,58.343964,14.462524,3.282857,14.717588,4.02596
1-Oct-08,26.639999,54.614506,15.509609,3.537143,16.729939,5.919468
2-Sep-08,39.470001,60.383438,17.407118,4.411428,18.577639,6.703922
1-Aug-08,42.830002,63.194691,16.609152,4.405715,20.059462,7.014998
1-Jul-08,41.349998,61.441433,16.772554,4.412857,19.693579,6.622771
2-Jun-08,39.389999,72.028023,14.996203,3.724286,19.208786,7.096149
1-May-08,44.060001,72.042557,16.962301,4.337143,20.891842,8.200696
1-Apr-08,37.290001,69.398048,16.5184,4.568572,19.071581,7.317058
3-Mar-08,35.59,61.610165,16.194613,4.95,17.891611,7.889619
1-Feb-08,33.650002,62.548466,16.137976,4.511428,17.196436,8.10602
2-Jan-08,34.93,59.657616,15.154268,3.592857,18.797169,8.525297
3-Dec-07,42.73,66.881027,16.893877,3.802857,20.654018,9.2286
1-Nov-07,42.139999,62.896679,17.74118,3.3,18.458729,10.545039
1-Oct-07,47.900002,65.138763,17.1558,3.781429,20.27899,12.028288
4-Sep-07,43.66,66.612236,17.72064,2.964286,19.803343,11.811887
1-Aug-07,42.75,62.469437,16.326239,2.502857,18.5502,12.420514
2-Jul-07,40.290001,60.262959,16.677612,2.461429,17.489143,12.028288
1-Jun-07,40.150002,59.542004,17.950714,2.77,18.028816,11.82992
1-May-07,44.060001,57.598267,17.111704,3.128572,17.726965,12.988567
2-Apr-07,41.560001,54.588032,16.924608,3.167143,17.196436,13.984914
1-Mar-07,41.700001,51.900383,16.009354,3.312857,16.583584,14.138198
1-Feb-07,39.25,48.082939,16.019426,3.218571,15.028588,13.930813
3-Jan-07,38.869999,50.777351,17.519524,3.258571,15.696321,15.752188